iata,name,country,tz
EDM,La Roche-sur-Yon Airport,France,Europe/Paris
EDO,Balıkesir Körfez Airport,Turkey,Europe/Istanbul
EDR,Pormpuraaw Airport,Australia,Australia/Brisbane
EDW,Edwards Air Force Base,United States,America/Los_Angeles
EED,Needles Airport,United States,
EEK,Eek Airport,United States,America/Anchorage
EEN,Dillant Hopkins Airport,United States,America/New_York
EFD,Ellington Airport,United States,America/Chicago
EFG,Efogi Airport,Papua New Guinea,
EFL,Kefallinia Airport,Greece,Europe/Athens
EGC,Bergerac-Roumanière Airport,France,Europe/Paris
EGE,Eagle County Regional Airport,United States,America/Denver
EGH,El Gora Airport,Egypt,Africa/Cairo
EGI,Duke Field,United States,
EGM,Sege Airport,Solomon Islands,Pacific/Guadalcanal
EGN,Geneina Airport,Sudan,Africa/Khartoum
EGO,Belgorod International Airport,Russia,Europe/Moscow
EGS,Egilsstaðir Airport,Iceland,Atlantic/Reykjavik
EGV,Eagle River Union Airport,United States,America/Chicago
EGX,Egegik Airport,United States,America/Anchorage
EHL,El Bolson Airport,Argentina,America/Argentina/Salta
EHM,Cape Newenham LRRS Airport,United States,America/Anchorage
EIB,Eisenach-Kindel Airport,Germany,Europe/Berlin
EIE,Yeniseysk Airport,Russia,Asia/Krasnoyarsk
EIK,Yeysk Airport,Russia,Europe/Moscow
EIL,Eielson Air Force Base,United States,America/Anchorage
EIN,Eindhoven Airport,Netherlands,Europe/Amsterdam
EIS,Terrance B. Lettsome International Airport,British Virgin Islands,America/Tortola
EIY,Ein Yahav Airfield,Israel,Asia/Jerusalem
EJA,Yariguíes Airport,Colombia,America/Bogota
EJH,Al Wajh Domestic Airport,Saudi Arabia,Asia/Riyadh
EJN,Ejin Banner-Taolai Airport,China,
EKA,Murray Field,United States,
EKB,Ekibastuz Airport,Kazakhstan,Asia/Qyzylorda
EKI,Elkhart Municipal Airport,United States,
EKN,Elkins-Randolph Co-Jennings Randolph Field,United States,America/New_York
EKO,Elko Regional Airport,United States,America/Los_Angeles
EKS,Shakhtyorsk Airport,Russia,
EKT,Eskilstuna Airport,Sweden,Europe/Stockholm
ELB,Las Flores Airport,Colombia,America/Bogota
ELC,Elcho Island Airport,Australia,Australia/Darwin
ELD,South Arkansas Regional At Goodwin Field,United States,America/Chicago
ELF,El Fasher Airport,Sudan,Africa/Khartoum
ELG,El Golea Airport,Algeria,Africa/Algiers
ELH,North Eleuthera Airport,Bahamas,America/Nassau
ELI,Elim Airport,United States,America/Anchorage
ELM,Elmira Corning Regional Airport,United States,America/New_York
ELO,El Dorado Airport,Argentina,America/Cordoba
ELP,El Paso International Airport,United States,America/Denver
ELQ,Gassim Airport,Saudi Arabia,Asia/Riyadh
ELS,Ben Schoeman Airport,South Africa,Africa/Johannesburg
ELT,El Tor Airport,Egypt,Africa/Cairo
ELU,Guemar Airport,Algeria,Africa/Algiers
ELV,Elfin Cove Seaplane Base,United States,America/Anchorage
ELY,Ely Airport Yelland Field,United States,America/Los_Angeles
EMA,East Midlands Airport,United Kingdom,Europe/London
EMD,Emerald Airport,Australia,Australia/Brisbane
EME,Emden Airport,Germany,Europe/Berlin
EMK,Emmonak Airport,United States,America/Anchorage
EML,Emmen Air Base,Switzerland,Europe/Zurich
EMN,Néma Airport,Mauritania,Africa/Nouakchott
EMP,Emporia Municipal Airport,Germany,America/Chicago
EMT,San Gabriel Valley Airport,United States,
ENA,Kenai Municipal Airport,United States,America/Anchorage
ENC,Nancy-Essey Airport,France,Europe/Paris
END,Vance Air Force Base,United States,America/Chicago
ENE,Ende (H Hasan Aroeboesman) Airport,Indonesia,Asia/Makassar
ENF,Enontekio Airport,Finland,Europe/Helsinki
ENH,Enshi Airport,China,Asia/Shanghai
ENK,St Angelo Airport,United Kingdom,Europe/London
ENN,Nenana Municipal Airport,United States,
ENO,Encarnación Airport,Paraguay,
ENS,Twente Airport,Netherlands,Europe/Amsterdam
ENT,Eniwetok Airport,Marshall Islands,Pacific/Majuro
ENU,Akanu Ibiam International Airport,Nigeria,Africa/Lagos
ENV,Wendover Airport,United States,America/Denver
ENW,Kenosha Regional Airport,United States,America/Chicago
ENY,Yan'an Ershilipu Airport,China,Asia/Shanghai
EOH,Enrique Olaya Herrera Airport,Colombia,America/Bogota
EOI,Eday Airport,United Kingdom,Europe/London
EOK,Keokuk Municipal Airport,United States,America/Chicago
EOR,El Dorado Airport,Venezuela,America/Caracas
EOZ,Elorza Airport,Venezuela,America/Caracas
EPA,El Palomar Airport,Argentina,America/Buenos_Aires
EPL,Épinal-Mirecourt Airport,France,Europe/Paris
EPR,Esperance Airport,Australia,Australia/Perth
EPU,Pärnu Airport,Estonia,Europe/Tallinn
EQS,Brigadier Antonio Parodi Airport,Argentina,America/Catamarca
ERC,Erzincan Airport,Turkey,Europe/Istanbul
ERD,Berdyansk Airport,Ukraine,
ERF,Erfurt Airport,Germany,Europe/Berlin
ERG,Yerbogachen Airport,Russia,Asia/Irkutsk
ERH,Moulay Ali Cherif Airport,Morocco,Africa/Casablanca
ERI,Erie International Tom Ridge Field,United States,America/New_York
ERL,Erenhot Saiwusu International Airport,China,
ERM,Erechim Airport,Brazil,America/Sao_Paulo
ERN,Eirunepé Airport,Brazil,America/Boa_Vista
ERS,Eros Airport,Namibia,Africa/Windhoek
ERV,Kerrville Municipal Louis Schreiner Field,United States,America/Chicago
ERZ,Erzurum International Airport,Turkey,Europe/Istanbul
ESB,Esenboğa International Airport,Turkey,Europe/Istanbul
ESC,Delta County Airport,United States,America/New_York
ESD,Orcas Island Airport,United States,America/Los_Angeles
ESE,Ensenada International Airport,Mexico,America/Tijuana
ESF,Esler Regional Airport,United States,America/Chicago
ESG,Dr. Luis Maria Argaña International Airport,Paraguay,America/Asuncion
ESH,Shoreham Airport,United Kingdom,Europe/London
ESK,Eskişehir Air Base,Turkey,Europe/Istanbul
ESL,Elista Airport,Russia,Europe/Moscow
ESM,General Rivadeneira Airport,Ecuador,America/Guayaquil
ESN,Easton Newnam Field,United States,America/New_York
ESR,Ricardo García Posada Airport,Chile,America/Santiago
ESS,Essen Mulheim Airport,Germany,Europe/Berlin
ESU,Mogador Airport,Morocco,Africa/Casablanca
ETB,West Bend Municipal Airport,United States,
ETH,Eilat Airport,Israel,Asia/Jerusalem
ETM,Ramon Airport,Israel,
ETR,Santa Rosa International Airport,Ecuador,America/Guayaquil
ETS,Enterprise Municipal Airport,United States,
ETZ,Metz-Nancy-Lorraine Airport,France,Europe/Paris
EUA,Kaufana Airport,Tonga,Pacific/Tongatapu
EUF,Weedon Field,United States,America/Chicago
EUG,Mahlon Sweet Field,United States,America/Los_Angeles
EUM,Neumünster Airport,Germany,Europe/Berlin
EUN,Hassan I Airport,Western Sahara,Africa/El_Aaiun
EUQ,Evelio Javier Airport,Philippines,Asia/Manila
EUX,F. D. Roosevelt Airport,Netherlands Antilles,America/Curacao
EVE,"Harstad/Narvik Airport, Evenes",Norway,Europe/Oslo
EVG,Sveg Airport,Sweden,Europe/Stockholm
EVN,Zvartnots International Airport,Armenia,Asia/Yerevan
EVV,Evansville Regional Airport,United States,America/Chicago
EVW,Evanston-Uinta County Airport-Burns Field,United States,America/Denver
EVX,Évreux-Fauville (BA 105) Air Base,France,Europe/Paris
EWB,New Bedford Regional Airport,United States,America/New_York
EWK,Newton City-County Airport,United States,America/Chicago
EWN,Coastal Carolina Regional Airport,United States,America/New_York
EWR,Newark Liberty International Airport,United States,America/New_York
EXT,Exeter International Airport,United Kingdom,Europe/London
EYK,Beloyarskiy Airport,Russia,Asia/Yekaterinburg
EYP,El Yopal Airport,Colombia,America/Bogota
EYW,Key West International Airport,United States,America/New_York
EZE,Ministro Pistarini International Airport,Argentina,America/Buenos_Aires
EZS,Elazığ Airport,Turkey,Europe/Istanbul
EZV,Berezovo Airport,Russia,Asia/Yekaterinburg
FAA,Faranah Airport,Guinea,Africa/Conakry
FAB,Farnborough Airport,United Kingdom,Europe/London
FAC,Faaite Airport,French Polynesia,
FAE,Vagar Airport,Faroe Islands,Atlantic/Faeroe
FAF,Felker Army Air Field,United States,America/New_York
FAH,Farah Airport,Afghanistan,
FAI,Fairbanks International Airport,United States,America/Anchorage
FAJ,Diego Jimenez Torres Airport,Puerto Rico,America/Puerto_Rico
FAN,Lista Airport,Norway,Europe/Oslo
FAO,Faro Airport,Portugal,Europe/Lisbon
FAR,Hector International Airport,United States,America/Chicago
FAT,Fresno Yosemite International Airport,United States,America/Los_Angeles
FAV,Fakarava Airport,French Polynesia,Pacific/Tahiti
FAY,Fayetteville Regional Grannis Field,United States,America/New_York
FAZ,Fasa Airport,Iran,Asia/Tehran
FBA,Fonte Boa Airport,Brazil,America/Boa_Vista
FBD,Fayzabad Airport,Afghanistan,Asia/Kabul
FBE,Francisco Beltrão Airport,Brazil,America/Sao_Paulo
FBG,Simmons Army Air Field,United States,America/New_York
FBK,Ladd AAF Airfield,United States,America/Anchorage
FBM,Lubumbashi International Airport,Congo (Kinshasa),Africa/Lubumbashi
FBR,Fort Bridger Airport,United States,America/Denver
FBU,"Oslo, Fornebu Airport",Norway,Europe/Oslo
FCA,Glacier Park International Airport,United States,America/Denver
FCB,Ficksburg Sentraoes Airport,South Africa,Africa/Johannesburg
FCM,Flying Cloud Airport,United States,America/Chicago
FCN,Nordholz Naval Airbase,Germany,Europe/Berlin
FCO,Leonardo da Vinci–Fiumicino Airport,Italy,Europe/Rome
FCS,Butts AAF (Fort Carson) Air Field,United States,America/Denver
FDF,Martinique Aimé Césaire International Airport,Martinique,America/Martinique
FDH,Friedrichshafen Airport,Germany,Europe/Berlin
FDO,San Fernando Airport,Argentina,America/Buenos_Aires
FDU,Bandundu Airport,Congo (Kinshasa),Africa/Kinshasa
FDY,Findlay Airport,United States,America/New_York
FEG,Fergana International Airport,Uzbekistan,Asia/Samarkand
FEL,Fürstenfeldbruck Air Base,Germany,Europe/Berlin
FEN,Fernando de Noronha Airport,Brazil,America/Fortaleza
FET,Fremont Municipal Airport,United States,
FEZ,Saïss Airport,Morocco,Africa/Casablanca
FFA,First Flight Airport,United States,America/New_York
FFD,RAF Fairford,United Kingdom,Europe/London
FFO,Wright-Patterson Air Force Base,United States,America/New_York
FFT,Capital City Airport,United States,America/New_York
FFU,Futaleufú Airport,Chile,America/Santiago
FGI,Fagali'i Airport,Samoa,Pacific/Apia
FGU,Fangatau Airport,French Polynesia,Pacific/Tahiti
FHU,Sierra Vista Municipal Libby Army Air Field,United States,America/Phoenix
FIE,Fair Isle Airport,United Kingdom,Europe/London
FIG,Fria Airport,Guinea,Africa/Conakry
FIH,Ndjili International Airport,Congo (Kinshasa),Africa/Kinshasa
FIK,Finke Airport,Australia,
FIZ,Fitzroy Crossing Airport,Australia,Australia/Perth
FJR,Fujairah International Airport,United Arab Emirates,Asia/Dubai
FKB,Karlsruhe Baden-Baden Airport,Germany,Europe/Berlin
FKI,Bangoka International Airport,Congo (Kinshasa),Africa/Lubumbashi
FKJ,Fukui Airport,Japan,Asia/Tokyo
FKL,Venango Regional Airport,United States,America/New_York
FKQ,Fakfak Airport,Indonesia,Asia/Jayapura
FKS,Fukushima Airport,Japan,Asia/Tokyo
FLA,Gustavo Artunduaga Paredes Airport,Colombia,America/Bogota
FLB,Cangapara Airport,Brazil,
FLD,Fond du Lac County Airport,United States,America/Chicago
FLF,Flensburg-Schäferhaus Airport,Germany,Europe/Berlin
FLG,Flagstaff Pulliam Airport,United States,America/Phoenix
FLL,Fort Lauderdale Hollywood International Airport,United States,America/New_York
FLN,Hercílio Luz International Airport,Brazil,America/Sao_Paulo
FLO,Florence Regional Airport,United States,America/New_York
FLP,Marion County Regional Airport,United States,
FLR,Peretola Airport,Italy,Europe/Rome
FLS,Flinders Island Airport,Australia,Australia/Melbourne
FLV,Sherman Army Air Field,United States,America/Chicago
FLW,Flores Airport,Portugal,Atlantic/Azores
FLZ,Dr Ferdinand Lumban Tobing Airport,Indonesia,Asia/Jakarta
FMA,Formosa Airport,Argentina,America/Cordoba
FME,Tipton Airport,United States,America/New_York
FMH,Cape Cod Coast Guard Air Station,United States,America/New_York
FMI,Kalemie Airport,Congo (Kinshasa),Africa/Lubumbashi
FMM,Memmingen Allgau Airport,Germany,Europe/Berlin
FMN,Four Corners Regional Airport,United States,America/Denver
FMO,Münster Osnabrück Airport,Germany,Europe/Berlin
FMY,Page Field,United States,America/New_York
FNA,Lungi International Airport,Sierra Leone,Africa/Freetown
FNB,Neubrandenburg Airport,Germany,
FNC,Madeira Airport,Portugal,Europe/Lisbon
FNI,Nîmes-Arles-Camargue Airport,France,Europe/Paris
FNJ,Pyongyang Sunan International Airport,North Korea,Asia/Pyongyang
FNL,Northern Colorado Regional Airport,United States,America/Denver
FNR,Funter Bay Seaplane Base,United States,America/Anchorage
FNT,Bishop International Airport,United States,America/New_York
FNU,Oristano-Fenosu Airport,Italy,Europe/Rome
FOC,Fuzhou Changle International Airport,China,Asia/Shanghai
FOD,Fort Dodge Regional Airport,United States,America/Chicago
FOE,Topeka Regional Airport - Forbes Field,United States,America/Chicago
FOG,"Foggia ""Gino Lisa"" Airport",Italy,Europe/Rome
FOK,Francis S Gabreski Airport,United States,America/New_York
FOM,Foumban Nkounja Airport,Cameroon,Africa/Douala
FON,Arenal Airport,Costa Rica,America/Costa_Rica
FOR,Pinto Martins International Airport,Brazil,America/Fortaleza
FOS,Forrest Airport,Australia,Australia/Perth
FPO,Grand Bahama International Airport,Bahamas,America/Nassau
FPR,St Lucie County International Airport,United States,America/New_York
FRA,Frankfurt am Main Airport,Germany,Europe/Berlin
FRB,Forbes Airport,Australia,
FRC,Tenente Lund Pressoto Airport,Brazil,America/Sao_Paulo
FRD,Friday Harbor Airport,United States,America/Los_Angeles
FRE,Fera/Maringe Airport,Solomon Islands,Pacific/Guadalcanal
FRG,Republic Airport,United States,America/New_York
FRI,Marshall Army Air Field,United States,America/Chicago
FRJ,Fréjus Airport,France,Europe/Paris
FRL,Forlì Airport,Italy,Europe/Rome
FRN,Bryant Army Heliport,United States,America/Anchorage
FRO,Florø Airport,Norway,Europe/Oslo
FRS,Mundo Maya International Airport,Guatemala,America/Guatemala
FRU,Manas International Airport,Kyrgyzstan,Asia/Bishkek
FRW,Francistown Airport,Botswana,Africa/Gaborone
FRY,Eastern Slopes Regional Airport,United States,America/New_York
FRZ,Fritzlar Airport,Germany,Europe/Berlin
FSC,Figari Sud-Corse Airport,France,Europe/Paris
FSD,Joe Foss Field Airport,United States,America/Chicago
FSI,Henry Post Army Air Field (Fort Sill),United States,America/Chicago
FSM,Fort Smith Regional Airport,United States,America/Chicago
FSP,St Pierre Airport,Saint Pierre and Miquelon,America/Miquelon
FSS,RAF Kinloss,United Kingdom,
FST,Fort Stockton Pecos County Airport,United States,America/Chicago
FTA,Futuna Airport,Vanuatu,Pacific/Efate
FTE,El Calafate Airport,Argentina,America/Argentina/Rio_Gallegos
FTI,Fitiuta Airport,American Samoa,Pacific/Pago_Pago
FTK,Godman Army Air Field,United States,America/New_York
FTU,Tôlanaro Airport,Madagascar,Indian/Antananarivo
FTW,Fort Worth Meacham International Airport,United States,America/Chicago
FTX,Owando Airport,Congo (Kinshasa),Africa/Brazzaville
FTY,Fulton County Airport Brown Field,United States,America/New_York
FUE,Fuerteventura Airport,Spain,Atlantic/Canary
FUG,Fuyang Xiguan Airport,China,Asia/Shanghai
FUJ,Fukue Airport,Japan,Asia/Tokyo
FUK,Fukuoka Airport,Japan,Asia/Tokyo
FUL,Fullerton Municipal Airport,United States,America/Los_Angeles
FUN,Funafuti International Airport,Tuvalu,Pacific/Funafuti
FUO,Foshan Shadi Airport,China,Asia/Shanghai
FUT,Pointe Vele Airport,Wallis and Futuna,Pacific/Wallis
FWA,Fort Wayne International Airport,United States,America/New_York
FWH,NAS Fort Worth JRB/Carswell Field,United States,America/Chicago
FXE,Fort Lauderdale Executive Airport,United States,America/New_York
FXO,Cuamba Airport,Mozambique,Africa/Maputo
FYJ,Dongji Aiport,China,
FYN,Fuyun Koktokay Airport,China,
FYT,Faya Largeau Airport,Chad,Africa/Ndjamena
FYU,Fort Yukon Airport,United States,America/Anchorage
FYV,Drake Field,United States,America/Chicago
FZO,Bristol Filton Airport,United Kingdom,Europe/London
GAD,Northeast Alabama Regional Airport,United States,America/Chicago
GAE,Gabès Matmata International Airport,Tunisia,Africa/Tunis
GAF,Gafsa Ksar International Airport,Tunisia,Africa/Tunis
GAH,Gayndah Airport,Australia,Australia/Brisbane
GAI,Montgomery County Airpark,United States,America/New_York
GAJ,Yamagata Airport,Japan,Asia/Tokyo
GAL,Edward G. Pitka Sr Airport,United States,America/Anchorage
GAM,Gambell Airport,United States,America/Anchorage
GAN,Gan International Airport,Maldives,Indian/Maldives
GAO,Mariana Grajales Airport,Cuba,America/Havana
GAQ,Gao Airport,Mali,Africa/Bamako
GAS,Garissa Airport,Kenya,Africa/Nairobi
GAU,Lokpriya Gopinath Bordoloi International Airport,India,Asia/Calcutta
GAY,Gaya Airport,India,Asia/Calcutta
GBA,Cotswold Airport,United Kingdom,Europe/London
GBB,Gabala International Airport,Azerbaijan,Asia/Baku
GBD,Great Bend Municipal Airport,United States,America/Chicago
GBE,Sir Seretse Khama International Airport,Botswana,Africa/Gaborone
GBG,Galesburg Municipal Airport,United States,
GBJ,Les Bases Airport,Guadeloupe,America/Guadeloupe
GBK,Gbangbatok Airport,Sierra Leone,Africa/Freetown
GBT,Gorgan Airport,Iran,Asia/Tehran
GBZ,Great Barrier Aerodrome,New Zealand,Pacific/Auckland
GCC,Gillette Campbell County Airport,United States,America/Denver
GCH,Gachsaran Airport,Iran,Asia/Tehran
GCI,Guernsey Airport,Guernsey,Europe/Guernsey
GCJ,Grand Central Airport,South Africa,Africa/Johannesburg
GCK,Garden City Regional Airport,United States,America/Chicago
GCM,Owen Roberts International Airport,Cayman Islands,America/Cayman
GCN,Grand Canyon National Park Airport,United States,America/Phoenix
GDC,Donaldson Field Airport,United States,
GDE,Gode Airport,Ethiopia,Africa/Addis_Ababa
GDL,Don Miguel Hidalgo Y Costilla International Airport,Mexico,America/Mexico_City
GDN,Gdańsk Lech Wałęsa Airport,Poland,Europe/Warsaw
GDO,Guasdalito Airport,Venezuela,America/Caracas
GDQ,Gonder Airport,Ethiopia,Africa/Addis_Ababa
GDT,JAGS McCartney International Airport,Turks and Caicos Islands,America/Grand_Turk
GDV,Dawson Community Airport,United States,America/Denver
GDW,Gladwin Zettel Memorial Airport,United States,America/New_York
GDX,Sokol Airport,Russia,Asia/Srednekolymsk
GDZ,Gelendzhik Airport,Russia,Europe/Moscow
GEA,Nouméa Magenta Airport,New Caledonia,Pacific/Noumea
GEC,Lefkoniko Airport,Cyprus,
GED,Sussex County Airport,United States,America/New_York
GEG,Spokane International Airport,United States,America/Los_Angeles
GEL,Santo Ângelo Airport,Brazil,America/Sao_Paulo
GEO,Cheddi Jagan International Airport,Guyana,America/Guyana
GER,Rafael Cabrera Airport,Cuba,America/Havana
GES,General Santos International Airport,Philippines,Asia/Manila
GET,Geraldton Airport,Australia,Australia/Perth
GEV,Gällivare Airport,Sweden,Europe/Stockholm
GEX,Geelong Airport,Australia,Australia/Hobart
GFF,Griffith Airport,Australia,Australia/Sydney
GFK,Grand Forks International Airport,United States,America/Chicago
GFL,Floyd Bennett Memorial Airport,United States,America/New_York
GFN,Grafton Airport,Australia,Australia/Sydney
GFO,Bartica A Airport,Guyana,America/Guyana
GFR,Granville Airport,France,Europe/Paris
GFY,Grootfontein Airport,Namibia,Africa/Windhoek
GGE,Georgetown County Airport,United States,America/New_York
GGG,East Texas Regional Airport,United States,America/Chicago
GGM,Kakamega Airport,Kenya,Africa/Nairobi
GGS,Gobernador Gregores Airport,Argentina,America/Argentina/Rio_Gallegos
GGT,Exuma International Airport,Bahamas,America/Nassau
GGW,Wokal Field Glasgow International Airport,United States,America/Denver
GHA,Noumérat - Moufdi Zakaria Airport,Algeria,Africa/Algiers
GHB,Governor's Harbour Airport,Bahamas,America/Nassau
GHC,Great Harbour Cay Airport,Bahamas,America/Nassau
GHF,[Duplicate] Giebelstadt Army Air Field,Germany,Europe/Berlin
GHT,Ghat Airport,Libya,Africa/Tripoli
GHU,Gualeguaychu Airport,Argentina,America/Cordoba
GIB,Gibraltar Airport,Gibraltar,Europe/Gibraltar
GIC,Boigu Airport,Australia,Australia/Brisbane
GID,Gitega Airport,Burundi,
GIF,Winter Haven Regional Airport - Gilbert Field,United States,America/New_York
GIG,Rio Galeão – Tom Jobim International Airport,Brazil,America/Sao_Paulo
GII,Siguiri Airport,Guinea,
GIL,Gilgit Airport,Pakistan,Asia/Karachi
GIR,Santiago Vila Airport,Colombia,America/Bogota
GIS,Gisborne Airport,New Zealand,Pacific/Auckland
GIT,Mchauru Airport,Tanzania,
GIU,Sigiriya Air Force Base,Sri Lanka,Asia/Colombo
GIZ,Jizan Regional Airport,Saudi Arabia,Asia/Riyadh
GJA,La Laguna Airport,Honduras,America/Tegucigalpa
GJL,Jijel Ferhat Abbas Airport,Algeria,Africa/Algiers
GJM,Guajará-Mirim Airport,Brazil,America/Boa_Vista
GJR,Gjögur Airport,Iceland,Atlantic/Reykjavik
GJT,Grand Junction Regional Airport,United States,America/Denver
GKA,Goroka Airport,Papua New Guinea,Pacific/Port_Moresby
GKE,Geilenkirchen Air Base,Germany,Europe/Berlin
GKK,Kooddoo Airport,Maldives,Indian/Maldives
GKL,Great Keppel Is Airport,Australia,Australia/Brisbane
GKN,Gulkana Airport,United States,America/Anchorage
GLA,Glasgow International Airport,United Kingdom,Europe/London
GLD,Renner Field-Goodland Municipal Airport,United States,America/Denver
GLF,Golfito Airport,Costa Rica,America/Costa_Rica
GLH,Mid Delta Regional Airport,United States,America/Chicago
GLI,Glen Innes Airport,Australia,Australia/Sydney
GLK,Galcaio Airport,Somalia,Africa/Mogadishu
GLO,Gloucestershire Airport,United Kingdom,Europe/London
GLR,Gaylord Regional Airport,United States,
GLS,Scholes International At Galveston Airport,United States,America/Chicago
GLT,Gladstone Airport,Australia,Australia/Brisbane
GLU,Gelephu Airport,Bhutan,
GLV,Golovin Airport,United States,America/Anchorage
GLW,Glasgow Municipal Airport,United States,
GLZ,Gilze Rijen Air Base,Netherlands,Europe/Amsterdam
GMA,Gemena Airport,Congo (Kinshasa),Africa/Kinshasa
GMB,Gambella Airport,Ethiopia,Africa/Addis_Ababa
GMD,Ben Slimane Airport,Morocco,Africa/Casablanca
GME,Gomel Airport,Belarus,Europe/Minsk
GML,Gostomel Airport,Ukraine,Europe/Kiev
GMO,Gombe Lawanti International Airport,Nigeria,
GMP,Gimpo International Airport,South Korea,Asia/Seoul
GMQ,Golog Maqin Airport,China,
GMR,Totegegie Airport,French Polynesia,Pacific/Gambier
GMU,Greenville Downtown Airport,United States,
GMV,Monument Valley Airport,United States,America/Denver
GMZ,La Gomera Airport,Spain,Atlantic/Canary
GNA,Hrodna Airport,Belarus,Europe/Minsk
GNB,Grenoble-Isère Airport,France,Europe/Paris
GND,Point Salines International Airport,Grenada,America/Grenada
GNI,Lyudao Airport,Taiwan,Asia/Taipei
GNM,Guanambi Airport,Brazil,America/Fortaleza
GNR,Dr. Arturo H. Illia Airport,Argentina,America/Argentina/Salta
GNS,Binaka Airport,Indonesia,Asia/Jakarta
GNT,Grants-Milan Municipal Airport,United States,America/Denver
GNV,Gainesville Regional Airport,United States,America/New_York
GNY,Şanlıurfa GAP Airport,Turkey,Europe/Istanbul
GNZ,Ghanzi Airport,Botswana,Africa/Gaborone
GOA,Genoa Cristoforo Colombo Airport,Italy,Europe/Rome
GOB,Robe Airport,Ethiopia,Africa/Addis_Ababa
GOH,Godthaab / Nuuk Airport,Greenland,America/Godthab
GOI,Dabolim Airport,India,Asia/Calcutta
GOJ,Nizhny Novgorod Strigino International Airport,Russia,Europe/Moscow
GOM,Goma International Airport,Congo (Kinshasa),Africa/Kigali
GON,Groton New London Airport,United States,America/New_York
GOO,Goondiwindi Airport,Australia,
GOP,Gorakhpur Airport,India,Asia/Calcutta
GOQ,Golmud Airport,China,Asia/Shanghai
GOR,Gore Airport,Ethiopia,Africa/Addis_Ababa
GOT,Gothenburg-Landvetter Airport,Sweden,Europe/Stockholm
GOU,Garoua International Airport,Cameroon,Africa/Douala
GOV,Gove Airport,Australia,Australia/Darwin
GOZ,Gorna Oryahovitsa Airport,Bulgaria,Europe/Sofia
GPA,Araxos Airport,Greece,Europe/Athens
GPB,Tancredo Thomas de Faria Airport,Brazil,America/Sao_Paulo
GPI,Juan Casiano Airport,Colombia,America/Bogota
GPL,Guapiles Airport,Costa Rica,America/Costa_Rica
GPN,Garden Point Airport,Australia,
GPO,General Pico Airport,Argentina,America/Argentina/Salta
GPS,Seymour Airport,Ecuador,Pacific/Galapagos
GPT,Gulfport Biloxi International Airport,United States,America/Chicago
GPZ,Grand Rapids Itasca Co-Gordon Newstrom field,United States,America/Chicago
GQQ,Galion Municipal Airport,United States,America/New_York
GRB,Austin Straubel International Airport,United States,America/Chicago
GRF,Gray Army Air Field,United States,America/Los_Angeles
GRI,Central Nebraska Regional Airport,United States,America/Chicago
GRJ,George Airport,South Africa,Africa/Johannesburg
GRK,Robert Gray  Army Air Field Airport,United States,America/Chicago
GRM,Grand Marais Cook County Airport,United States,America/Chicago
GRO,Girona Airport,Spain,Europe/Madrid
GRP,Gurupi Airport,Brazil,America/Fortaleza
GRQ,Eelde Airport,Netherlands,Europe/Amsterdam
GRR,Gerald R. Ford International Airport,United States,America/New_York
GRS,Grosseto Air Base,Italy,Europe/Rome
GRU,Guarulhos - Governador André Franco Montoro International Airport,Brazil,America/Sao_Paulo
GRW,Graciosa Airport,Portugal,Atlantic/Azores
GRX,Federico Garcia Lorca Airport,Spain,Europe/Madrid
GRY,Grímsey Airport,Iceland,Atlantic/Reykjavik
GRZ,Graz Airport,Austria,Europe/Vienna
GSB,Seymour Johnson Air Force Base,United States,America/New_York
GSE,Gothenburg City Airport,Sweden,Europe/Stockholm
GSI,Grand-Santi Airport,French Guiana,America/Cayenne
GSJ,San José Airport,Guatemala,America/Guatemala
GSO,Piedmont Triad International Airport,United States,America/New_York
GSP,Greenville Spartanburg International Airport,United States,America/New_York
GSQ,Shark El Oweinat International Airport,Egypt,Africa/Cairo
GST,Gustavus Airport,United States,America/Anchorage
GTE,Groote Eylandt Airport,Australia,Australia/Darwin
GTF,Great Falls International Airport,United States,America/Denver
GTI,Rügen Airport,Germany,Europe/Berlin
GTN,Glentanner Airport,New Zealand,Pacific/Auckland
GTO,Jalaluddin Airport,Indonesia,Asia/Makassar
GTR,Golden Triangle Regional Airport,United States,America/Chicago
GUA,La Aurora Airport,Guatemala,America/Guatemala
GUB,Guerrero Negro Airport,Mexico,America/Tijuana
GUC,Gunnison Crested Butte Regional Airport,United States,America/Denver
GUF,Jack Edwards Airport,United States,America/Chicago
GUH,Gunnedah Airport,Australia,
GUI,Guiria Airport,Venezuela,America/Caracas
GUJ,Guaratinguetá Airport,Brazil,America/Sao_Paulo
GUL,Goulburn Airport,Australia,Australia/Sydney
GUM,Antonio B. Won Pat International Airport,Guam,Pacific/Guam
GUP,Gallup Municipal Airport,United States,America/Denver
GUQ,Guanare Airport,Venezuela,America/Caracas
GUR,Gurney Airport,Papua New Guinea,Pacific/Port_Moresby
GUS,Grissom Air Reserve Base,United States,America/New_York
GUT,Gütersloh Air Base,Germany,Europe/Berlin
GUU,Grundarfjörður Airport,Iceland,
GUW,Atyrau Airport,Kazakhstan,Asia/Oral
GUX,Guna Airport,India,Asia/Calcutta
GUY,Guymon Municipal Airport,United States,
GUZ,Guarapari Airport,Brazil,
GVA,Geneva Cointrin International Airport,Switzerland,Europe/Paris
GVL,Lee Gilmer Memorial Airport,United States,America/New_York
GVN,Maygatka Airport.,Russia,
